par_cz,par_czname,par_state,par_stateabbrv,kid_count,inventor,inventor_cat_1,inventor_cat_2,inventor_cat_3,inventor_cat_4,inventor_cat_5,inventor_cat_6,inventor_cat_7,kid_count_g_m,inventor_g_m,inventor_cat_1_g_m,inventor_cat_2_g_m,inventor_cat_3_g_m,inventor_cat_4_g_m,inventor_cat_5_g_m,inventor_cat_6_g_m,inventor_cat_7_g_m,kid_count_g_f,inventor_g_f,inventor_cat_1_g_f,inventor_cat_2_g_f,inventor_cat_3_g_f,inventor_cat_4_g_f,inventor_cat_5_g_f,inventor_cat_6_g_f,inventor_cat_7_g_f
5700,Tullahoma,Tennessee,TN,7432,0.0013455,0,0.0002691,0.0004037,0.0001346,0.0002691,0,0.0002691,3735,0.0018742,0,0.0002677,0.0005355,0.0002677,0.0005355,0,0.0002677,3697,0.0008115,0,0.0002705,0.0002705,0,0,0,0.0002705
5800,Dickson,Tennessee,TN,8325,0.0012012,0.0001201,0.0002402,0.0002402,0.0001201,0.0001201,0.0001201,0.0002402,4171,0.0021578,0.0002398,0.0004795,0.0002398,0.0002398,0.0002398,0.0002398,0.0004795,4154,0.0002407,0,0,0.0002407,0,0,0,0
5900,Clarksville,Tennessee,TN,13859,0.0008659,0.0000722,0.0002165,0.0001443,0.0001443,0.0001443,0.0000722,0.0000722,7093,0.0015508,0.000141,0.000423,0.000141,0.000282,0.000282,0.000141,0.000141,6766,0.0001478,0,0,0.0001478,0,0,0,0
6000,Huntsville,Alabama,AL,30643,0.0016643,0.0001632,0.0005874,0.0001958,0.0001958,0.0001958,0.0002937,0.0000326,15498,0.0025165,0.0002581,0.0010969,0.0003226,0.0001936,0.0002581,0.0003871,0,15140,0.0007926,0.0000661,0.0000661,0.0000661,0.0001982,0.0001321,0.0001982,0.0000661
6100,Gadsden,Alabama,AL,17878,0.0005034,0,0.0001678,0,0.0001119,0.0001119,0.0001119,0,8941,0.0008948,0,0.0003355,0,0.0002237,0.0001118,0.0002237,0,8936,0.0001119,0,0,0,0,0.0001119,0,0
6200,Florence,Alabama,AL,13519,0.0004438,0.0002219,0,0.000074,0.000074,0,0.000074,0,6903,0.0007243,0.0002897,0,0.0001449,0.0001449,0,0.0001449,0,6616,0.0001511,0.0001511,0,0,0,0,0,0
6301,McMinnville,Tennessee,TN,4793,0.0010432,0,0,0,0.0004173,0,0.0004173,0.0002086,2389,0.0016743,0,0,0,0.0008372,0,0.0004186,0.0004186,2404,0.000416,0,0,0,0,0,0.000416,0
6302,Cookeville,Tennessee,TN,5187,0.0013495,0.0001928,0.0005784,0.0001928,0.0001928,0.0001928,0,0,2703,0.0018498,0.00037,0.0007399,0,0.00037,0.00037,0,0,2484,0.0008052,0,0.0004026,0.0004026,0,0,0,0
6401,Chattanooga,Tennessee,TN,28097,0.0012457,0.0001068,0.0003915,0.000178,0.0000712,0.0000712,0.0003203,0.0001068,14097,0.0021281,0.0000709,0.0007094,0.0003547,0.0001419,0.0001419,0.0005675,0.0001419,13999,0.0003572,0.0001429,0.0000714,0,0,0,0.0000714,0.0000714
6402,Crossville,Tennessee,TN,5212,0.0009593,0,0,0.0003837,0,0,0.0005756,0,2671,0.0011232,0,0,0,0,0,0.0011232,0,2541,0.0007871,0,0,0.0007871,0,0,0,0
